date,time,latitude,longitude,ozone,pm
3/4/2015,19:36:56.984,38.4364135742,-78.8698811849,283,0.62
3/4/2015,19:36:59.0,38.4363891602,-78.8698811849,274,6285.91
3/4/2015,19:37:2.0,38.4363403320,-78.8698974609,271,0.62
3/4/2015,19:37:4.0,38.4363159180,-78.8698974609,286,995.28
3/4/2015,19:37:6.0,38.4362915039,-78.8699055990,215,1884.33
3/4/2015,19:37:8.0,38.4362670898,-78.8699137370,237,2241.76
3/4/2015,19:37:11.0,38.4362223307,-78.8699137370,189,3819.53
3/4/2015,19:37:12.984,38.4361938477,-78.8699137370,202,2388.3
3/4/2015,19:37:15.0,38.4361694336,-78.8699137370,203,22800.06
3/4/2015,19:37:16.984,38.4361368815,-78.8699137370,191,326.73
3/4/2015,19:37:20.0,38.4360961914,-78.8699218750,207,21515.6
3/4/2015,19:37:22.0,38.4360677083,-78.8699137370,202,0.62
3/4/2015,19:37:24.0,38.4360392253,-78.8699137370,187,12750.67
3/4/2015,19:37:27.0,38.4360026042,-78.8699218750,190,0.62
3/4/2015,19:37:28.984,38.4359781901,-78.8699300130,209,8257.56
3/4/2015,19:37:31.0,38.4359537760,-78.8699300130,213,0.62
3/4/2015,19:37:32.984,38.4359334310,-78.8699300130,187,3026.61
3/4/2015,19:37:36.0,38.4359130859,-78.8699462891,176,26669.99
3/4/2015,19:37:38.0,38.4358927409,-78.8699462891,173,28713.83
3/4/2015,19:37:40.0,38.4358683268,-78.8699462891,200,0.62
3/4/2015,19:37:43.0,38.4358398438,-78.8699381510,96,2808.09
3/4/2015,19:37:44.984,38.4358154297,-78.8699462891,177,19429.19
3/4/2015,19:37:47.0,38.4357910156,-78.8699544271,191,12417.09
3/4/2015,19:37:50.0,38.4357666016,-78.8699707031,181,0.62
3/4/2015,19:37:52.0,38.4357503255,-78.8699707031,199,4517.09
3/4/2015,19:37:54.0,38.4357381185,-78.8699788411,185,11171.81
3/4/2015,19:37:56.0,38.4357218424,-78.8699869792,190,12775.52
3/4/2015,19:37:59.0,38.4356852214,-78.8699951172,205,15069.52
3/4/2015,19:38:0.984,38.4356648763,-78.8699951172,210,4854.69
3/4/2015,19:38:3.0,38.4356363932,-78.8699951172,211,9199.16
3/4/2015,19:38:6.0,38.4355957031,-78.8699951172,200,0.62
3/4/2015,19:38:8.0,38.4355672201,-78.8699951172,221,2556.2
3/4/2015,19:38:10.0,38.4355346680,-78.8699951172,206,0.62
3/4/2015,19:38:12.0,38.4355021159,-78.8700032552,196,0.62
